dateTime,windSpeed,ETS,ETS_BC_Auto,ETS_BC
2018-01-15T00:00:00Z,6.1969444586171045,5.95425050903991,5.34617270953503,5.35091217471917
2018-01-15T01:00:00Z,6.322777783870697,6.03824360991542,5.2457872622947,5.36140269305859
2018-01-15T02:00:00Z,6.8686111158794825,6.05510970310797,5.6674517114489,5.78312010302498
2018-01-15T03:00:00Z,7.7763889074325565,6.02075132449819,5.19462675515404,5.39281333288649
2018-01-15T04:00:00Z,8.663055576218499,5.98612925351301,4.92010224133968,5.18450249596316
2018-01-15T05:00:00Z,9.45166668759452,6.01968466974735,5.04005232973907,5.37513811279211
2018-01-15T06:00:00Z,9.623055552111731,6.16804759127517,5.12893106956128,5.52176588968849
2018-01-15T07:00:00Z,7.92861111164093,6.42726457086133,5.34226913885247,5.80086147782383
2018-01-15T08:00:00Z,7.259166671170129,6.74000374586929,5.37774190940947,5.91221146354814
2018-01-15T09:00:00Z,6.269722219970491,7.08205303510843,5.98146681706846,6.65261566434826
2018-01-15T10:00:00Z,6.829722225666046,7.35071683147296,7.22722866529434,8.1458863325756
2018-01-15T11:00:00Z,7.890277793672349,7.5205199027555,7.92741027437505,9.03006878743419
2018-01-15T12:00:00Z,8.757222219308217,7.62200642588835,8.8212359508966,10.185980947124
2018-01-15T13:00:00Z,8.874999980131784,7.65002930545252,8.42394092557988,9.79469537761007
2018-01-15T14:00:00Z,8.95416669315762,7.60813645439578,7.91299464657179,9.23283423029774
2018-01-15T15:00:00Z,8.453333352671729,7.39456390881206,7.21966960597084,8.46650877175555
2018-01-15T16:00:00Z,8.583333343929715,7.13404791977967,6.64276952446072,7.8486034467838
2018-01-15T17:00:00Z,7.710000006357829,6.96694682190395,6.1849658962121,7.35688881222204
2018-01-15T18:00:00Z,6.238611123296949,6.65397394767167,5.79731667478714,6.98952024648296
2018-01-15T19:00:00Z,4.906111105945375,6.39910819938111,6.17029788009837,7.52202909910843
2018-01-15T20:00:00Z,6.251944442590077,6.19824589990552,6.16745008592751,7.59481163696141
2018-01-15T21:00:00Z,5.9816666788525055,6.10519088319346,5.66835637609501,7.07377314913821
2018-01-15T22:00:00Z,6.633055554495917,6.10985833634316,5.81420307788849,7.33786864707849
2018-01-15T23:00:00Z,6.129444439543618,6.07575246210272,5.83723777317924,7.46659163378955
2018-01-16T00:00:00Z,4.963611101938619,6.01084352085747,5.42569315313296,7.04913807018246
2018-01-16T01:00:00Z,5.384444448020723,6.09483662173297,5.3085363772473,7.04374561313735
2018-01-16T02:00:00Z,6.405277782016331,6.11170271492552,5.72029417507761,7.55749690219204
2018-01-16T03:00:00Z,7.509166676468319,6.07734433631574,5.23446702768867,7.0471136884121
2018-01-16T04:00:00Z,7.748055553436279,6.04272226533056,4.95081441851587,6.76787572356529
2018-01-16T05:00:00Z,6.670277776983049,6.0762776815649,5.06501467595559,6.99014152829019
2018-01-16T06:00:00Z,7.21361110607783,6.22464060309273,5.14913168042697,7.15670835001548
2018-01-16T07:00:00Z,7.790000009536743,6.48385758267888,5.35887606986832,7.48819806056606
2018-01-16T08:00:00Z,5.933611102236641,6.79659675768684,5.39108455585786,7.60967898586238
2018-01-16T09:00:00Z,6.652777761883206,7.13864604692599,5.99293355090248,8.51292954563336
2018-01-16T10:00:00Z,7.2247222324212395,7.40730984329051,7.23764966045122,10.3469787830625
2018-01-16T11:00:00Z,8.101944445239173,7.57711291457305,7.93628309429644,11.4200581555654
2018-01-16T12:00:00Z,8.375555569595761,7.6785994377059,8.82886434446621,12.8252779396841
2018-01-16T13:00:00Z,7.0955555644300246,7.70662231727007,8.42985669891132,12.3169471503881
2018-01-16T14:00:00Z,6.860555573966768,7.66472946621333,7.91753159682684,11.6008182183111
2018-01-16T15:00:00Z,4.480555550919639,7.45115692062961,7.2230814300653,10.6362981564445
2018-01-16T16:00:00Z,6.255277778704961,7.19064093159722,6.64534987010751,9.85763502843136
2018-01-16T17:00:00Z,5.106666670905219,7.0235398337215,6.18693310264613,9.23655005151616
2018-01-16T18:00:00Z,6.641944458749559,6.71056695948922,5.79882321730302,8.76991584993939
2018-01-16T19:00:00Z,6.139999993642172,6.45570121119866,6.1715549165352,9.40367064719322
2018-01-16T20:00:00Z,5.5369444456365375,6.25483891172308,6.16845542330946,9.47527490536316
2018-01-16T21:00:00Z,7.378055544694265,6.16178389501102,5.66911615473307,8.82432719560328
2018-01-16T22:00:00Z,7.581388898690542,6.16645134816071,5.81482142438021,9.12954579790192
2018-01-16T23:00:00Z,6.780000004503462,6.13234547392027,5.8377337855403,9.26868771933117
