dateTime,windSpeed,SARIMA,SARIMA_BC_Auto,SARIMA_BC
2018-01-15T00:00:00Z,6.1969444586171045,6.19940697606773,6.04057863251985,6.07542693267266
2018-01-15T01:00:00Z,6.322777783870697,6.12947313254725,5.83243427631933,5.83822001306709
2018-01-15T02:00:00Z,6.8686111158794825,6.14616519826756,5.88499559585655,5.88501072243412
2018-01-15T03:00:00Z,7.7763889074325565,6.14140238124637,5.89410692514459,5.87787963337351
2018-01-15T04:00:00Z,8.663055576218499,6.06373900009326,5.78107976587314,5.75301723360501
2018-01-15T05:00:00Z,9.45166668759452,6.11940891060759,5.86610841566181,5.85025861757656
2018-01-15T06:00:00Z,9.623055552111731,6.11010852466318,5.85177621090477,5.83388592992614
2018-01-15T07:00:00Z,7.92861111164093,6.02778767566971,5.71139229755332,5.67394444075389
2018-01-15T08:00:00Z,7.259166671170129,6.036236637654,5.67915405709075,5.6334029888024
2018-01-15T09:00:00Z,6.269722219970491,5.99715340327852,5.57924472543622,5.52242192983386
2018-01-15T10:00:00Z,6.829722225666046,6.03374610543781,5.67186866629363,5.62510189720401
2018-01-15T11:00:00Z,7.890277793672349,6.0743619387202,5.64871313318212,5.5949331137724
2018-01-15T12:00:00Z,8.757222219308217,6.07147569585247,5.64118350622656,5.58690299417437
2018-01-15T13:00:00Z,8.874999980131784,6.08790229331324,5.71445458583514,5.66806537119521
2018-01-15T14:00:00Z,8.95416669315762,6.09478335952421,5.75701535017605,5.71782543353109
2018-01-15T15:00:00Z,8.453333352671729,6.05629063851242,5.72145179801155,5.68122797939832
2018-01-15T16:00:00Z,8.583333343929715,6.1051270488245,5.82741204032459,5.80360115398521
2018-01-15T17:00:00Z,7.710000006357829,5.97720566971049,5.61119069582088,5.56015271369793
2018-01-15T18:00:00Z,6.238611123296949,5.91366011744537,5.51161266181823,5.44917576730494
2018-01-15T19:00:00Z,4.906111105945375,5.94191795672609,5.57301874443992,5.51874567860339
2018-01-15T20:00:00Z,6.251944442590077,6.08465859241317,5.80737719348414,5.78284618274653
2018-01-15T21:00:00Z,5.9816666788525055,6.11767454620251,5.85766323089629,5.83945526523308
2018-01-15T22:00:00Z,6.633055554495917,6.10414829801034,5.84282366594966,5.82372778078793
2018-01-15T23:00:00Z,6.129444439543618,6.24691627150409,5.99863353342145,5.98928285855327
2018-01-16T00:00:00Z,4.963611101938619,6.28086583463594,6.02952651526048,6.02547635309101
2018-01-16T01:00:00Z,5.384444448020723,6.27138746105627,6.0062481119277,5.99821674520484
2018-01-16T02:00:00Z,6.405277782016331,6.28981217201065,6.03811262823496,6.03361093299912
2018-01-16T03:00:00Z,7.509166676468319,6.29595813041012,6.04895662942505,6.04450521114045
2018-01-16T04:00:00Z,7.748055553436279,6.26690058790916,6.00288479634938,5.99195214642867
2018-01-16T05:00:00Z,6.670277776983049,6.31987561727002,6.08481038855439,6.08515696507967
2018-01-16T06:00:00Z,7.21361110607783,6.30196464508528,6.05833098724595,6.05524929932005
2018-01-16T07:00:00Z,7.790000009536743,6.22067882836859,5.91962527421107,5.89644312738748
2018-01-16T08:00:00Z,5.933611102236641,6.17637871196007,5.82041211546218,5.78277416867081
2018-01-16T09:00:00Z,6.652777761883206,6.14104415639356,5.72549680551187,5.67690894641324
2018-01-16T10:00:00Z,7.2247222324212395,6.173048285953,5.81218549103171,5.77344437120099
2018-01-16T11:00:00Z,8.101944445239173,6.13986737890644,5.70933241725894,5.6595743515106
2018-01-16T12:00:00Z,8.375555569595761,6.13778836266093,5.7027148665963,5.65249446445253
2018-01-16T13:00:00Z,7.0955555644300246,6.16578124695102,5.78671519230747,5.74461894848803
2018-01-16T14:00:00Z,6.860555573966768,6.18894587154051,5.84582980738913,5.81159599148087
2018-01-16T15:00:00Z,4.480555550919639,6.19266743919844,5.85797628000167,5.82560222189233
2018-01-16T16:00:00Z,6.255277778704961,6.25165304484796,5.97526878532283,5.96042199845242
2018-01-16T17:00:00Z,5.106666670905219,6.17906960136695,5.83181366506732,5.79571684127976
2018-01-16T18:00:00Z,6.641944458749559,6.17208730667569,5.8186560046188,5.78048395688821
2018-01-16T19:00:00Z,6.139999993642172,6.20001358208416,5.88015517901859,5.85085529675897
2018-01-16T20:00:00Z,5.5369444456365375,6.26273876590187,5.99541177733298,5.9835330717364
2018-01-16T21:00:00Z,7.378055544694265,6.2838394187943,6.02987986616774,6.02294981395038
2018-01-16T22:00:00Z,7.581388898690542,6.29674449517257,6.0503809052247,6.04621953031043
2018-01-16T23:00:00Z,6.780000004503462,6.50321437205514,6.30471309218619,6.32455547716061
