dateTime,windSpeed,ETS,ETS_BC,Combination
2018-01-15T00:00:00Z,6.1969444586171045,5.95425050903991,5.35091217471917,5.65258134187954
2018-01-15T01:00:00Z,6.322777783870697,6.03824360991542,5.36140269305859,5.69982315148701
2018-01-15T02:00:00Z,6.8686111158794825,6.05510970310797,5.78312010302498,5.91911490306647
2018-01-15T03:00:00Z,7.7763889074325565,6.02075132449819,5.39281333288649,5.70678232869234
2018-01-15T04:00:00Z,8.663055576218499,5.98612925351301,5.18450249596316,5.58531587473808
2018-01-15T05:00:00Z,9.45166668759452,6.01968466974735,5.37513811279211,5.69741139126973
2018-01-15T06:00:00Z,9.623055552111731,6.16804759127517,5.52176588968849,5.84490674048183
2018-01-15T07:00:00Z,7.92861111164093,6.42726457086133,5.80086147782383,6.11406302434258
2018-01-15T08:00:00Z,7.259166671170129,6.74000374586929,5.91221146354814,6.32610760470872
2018-01-15T09:00:00Z,6.269722219970491,7.08205303510843,6.65261566434826,6.86733434972835
2018-01-15T10:00:00Z,6.829722225666046,7.35071683147296,8.1458863325756,7.74830158202428
2018-01-15T11:00:00Z,7.890277793672349,7.5205199027555,9.03006878743419,8.27529434509485
2018-01-15T12:00:00Z,8.757222219308217,7.62200642588835,10.185980947124,8.90399368650615
2018-01-15T13:00:00Z,8.874999980131784,7.65002930545252,9.79469537761007,8.72236234153129
2018-01-15T14:00:00Z,8.95416669315762,7.60813645439578,9.23283423029774,8.42048534234676
2018-01-15T15:00:00Z,8.453333352671729,7.39456390881206,8.46650877175555,7.93053634028381
2018-01-15T16:00:00Z,8.583333343929715,7.13404791977967,7.8486034467838,7.49132568328173
2018-01-15T17:00:00Z,7.710000006357829,6.96694682190395,7.35688881222204,7.16191781706299
2018-01-15T18:00:00Z,6.238611123296949,6.65397394767167,6.98952024648296,6.82174709707731
2018-01-15T19:00:00Z,4.906111105945375,6.39910819938111,7.52202909910843,6.96056864924477
2018-01-15T20:00:00Z,6.251944442590077,6.19824589990552,7.59481163696141,6.89652876843347
2018-01-15T21:00:00Z,5.9816666788525055,6.10519088319346,7.07377314913821,6.58948201616584
2018-01-15T22:00:00Z,6.633055554495917,6.10985833634316,7.33786864707849,6.72386349171082
2018-01-15T23:00:00Z,6.129444439543618,6.07575246210272,7.46659163378955,6.77117204794614
2018-01-16T00:00:00Z,4.963611101938619,6.01084352085747,7.04913807018246,6.52999079551996
2018-01-16T01:00:00Z,5.384444448020723,6.09483662173297,7.04374561313735,6.56929111743516
2018-01-16T02:00:00Z,6.405277782016331,6.11170271492552,7.55749690219204,6.83459980855878
2018-01-16T03:00:00Z,7.509166676468319,6.07734433631574,7.0471136884121,6.56222901236392
2018-01-16T04:00:00Z,7.748055553436279,6.04272226533056,6.76787572356529,6.40529899444792
2018-01-16T05:00:00Z,6.670277776983049,6.0762776815649,6.99014152829019,6.53320960492755
2018-01-16T06:00:00Z,7.21361110607783,6.22464060309273,7.15670835001548,6.6906744765541
2018-01-16T07:00:00Z,7.790000009536743,6.48385758267888,7.48819806056606,6.98602782162247
2018-01-16T08:00:00Z,5.933611102236641,6.79659675768684,7.60967898586238,7.20313787177461
2018-01-16T09:00:00Z,6.652777761883206,7.13864604692599,8.51292954563336,7.82578779627967
2018-01-16T10:00:00Z,7.2247222324212395,7.40730984329051,10.3469787830625,8.87714431317652
2018-01-16T11:00:00Z,8.101944445239173,7.57711291457305,11.4200581555654,9.49858553506925
2018-01-16T12:00:00Z,8.375555569595761,7.6785994377059,12.8252779396841,10.251938688695
2018-01-16T13:00:00Z,7.0955555644300246,7.70662231727007,12.3169471503881,10.0117847338291
2018-01-16T14:00:00Z,6.860555573966768,7.66472946621333,11.6008182183111,9.63277384226223
2018-01-16T15:00:00Z,4.480555550919639,7.45115692062961,10.6362981564445,9.04372753853708
2018-01-16T16:00:00Z,6.255277778704961,7.19064093159722,9.85763502843136,8.52413798001429
2018-01-16T17:00:00Z,5.106666670905219,7.0235398337215,9.23655005151616,8.13004494261883
2018-01-16T18:00:00Z,6.641944458749559,6.71056695948922,8.76991584993939,7.7402414047143
2018-01-16T19:00:00Z,6.139999993642172,6.45570121119866,9.40367064719322,7.92968592919594
2018-01-16T20:00:00Z,5.5369444456365375,6.25483891172308,9.47527490536316,7.86505690854312
2018-01-16T21:00:00Z,7.378055544694265,6.16178389501102,8.82432719560328,7.49305554530715
2018-01-16T22:00:00Z,7.581388898690542,6.16645134816071,9.12954579790192,7.64799857303132
2018-01-16T23:00:00Z,6.780000004503462,6.13234547392027,9.26868771933117,7.70051659662572
