dateTime,windSpeed,mean,drift,persist,newRef
2018-01-15T00:00:00Z,6.1969444586171045,3.75471987622275,6.0274714594259,6.02722223334842,5.90377729193827
2018-01-15T01:00:00Z,6.322777783870697,3.75471987622275,6.02772068550338,6.02722223334842,5.76221306168779
2018-01-15T02:00:00Z,6.8686111158794825,3.75471987622275,6.02796991158086,6.02722223334842,5.62523677164177
2018-01-15T03:00:00Z,7.7763889074325565,3.75471987622275,6.02821913765834,6.02722223334842,5.48837895938327
2018-01-15T04:00:00Z,8.663055576218499,3.75471987622275,6.02846836373582,6.02722223334842,5.35409200171832
2018-01-15T05:00:00Z,9.45166668759452,3.75471987622275,6.02871758981331,6.02722223334842,5.22577530617165
2018-01-15T06:00:00Z,9.623055552111731,3.75471987622275,6.02896681589079,6.02722223334842,5.10442537111886
2018-01-15T07:00:00Z,7.92861111164093,3.75471987622275,6.02921604196827,6.02722223334842,4.99513295153406
2018-01-15T08:00:00Z,7.259166671170129,3.75471987622275,6.02946526804575,6.02722223334842,4.8968389312436
2018-01-15T09:00:00Z,6.269722219970491,3.75471987622275,6.02971449412323,6.02722223334842,4.81293701176572
2018-01-15T10:00:00Z,6.829722225666046,3.75471987622275,6.02996372020071,6.02722223334842,4.74277459219944
2018-01-15T11:00:00Z,7.890277793672349,3.75471987622275,6.03021294627819,6.02722223334842,4.68666995745734
2018-01-15T12:00:00Z,8.757222219308217,3.75471987622275,6.03046217235567,6.02722223334842,4.64679945893956
2018-01-15T13:00:00Z,8.874999980131784,3.75471987622275,6.03071139843315,6.02722223334842,4.61887572547181
2018-01-15T14:00:00Z,8.95416669315762,3.75471987622275,6.03096062451063,6.02722223334842,4.60245368513074
2018-01-15T15:00:00Z,8.453333352671729,3.75471987622275,6.03120985058811,6.02722223334842,4.60134599488562
2018-01-15T16:00:00Z,8.583333343929715,3.75471987622275,6.03145907666559,6.02722223334842,4.60909922217208
2018-01-15T17:00:00Z,7.710000006357829,3.75471987622275,6.03170830274308,6.02722223334842,4.62645323041639
2018-01-15T18:00:00Z,6.238611123296949,3.75471987622275,6.03195752882056,6.02722223334842,4.65076572028151
2018-01-15T19:00:00Z,4.906111105945375,3.75471987622275,6.03220675489804,6.02722223334842,4.67672838843277
2018-01-15T20:00:00Z,6.251944442590077,3.75471987622275,6.03245598097552,6.02722223334842,4.70012276667183
2018-01-15T21:00:00Z,5.9816666788525055,3.75471987622275,6.032705207053,6.02722223334842,4.71586426517884
2018-01-15T22:00:00Z,6.633055554495917,3.75471987622275,6.03295443313048,6.02722223334842,4.71944987391097
2018-01-15T23:00:00Z,6.129444439543618,3.75471987622275,6.03320365920796,6.02722223334842,4.70459469254276
2018-01-16T00:00:00Z,4.963611101938619,3.75471987622275,6.03345288528544,6.02722223334842,4.6686892418381
2018-01-16T01:00:00Z,5.384444448020723,3.75471987622275,6.03370211136292,6.02722223334842,4.61317286521035
2018-01-16T02:00:00Z,6.405277782016331,3.75471987622275,6.0339513374404,6.02722223334842,4.54802982706077
2018-01-16T03:00:00Z,7.509166676468319,3.75471987622275,6.03420056351789,6.02722223334842,4.47588736572537
2018-01-16T04:00:00Z,7.748055553436279,3.75471987622275,6.03444978959537,6.02722223334842,4.40544744681251
2018-01-16T05:00:00Z,6.670277776983049,3.75471987622275,6.03469901567285,6.02722223334842,4.33863445343292
2018-01-16T06:00:00Z,7.21361110607783,3.75471987622275,6.03494824175033,6.02722223334842,4.27749107373204
2018-01-16T07:00:00Z,7.790000009536743,3.75471987622275,6.03519746782781,6.02722223334842,4.22281205429147
2018-01-16T08:00:00Z,5.933611102236641,3.75471987622275,6.03544669390529,6.02722223334842,4.17757337424046
2018-01-16T09:00:00Z,6.652777761883206,3.75471987622275,6.03569591998277,6.02722223334842,4.14201835481454
2018-01-16T10:00:00Z,7.2247222324212395,3.75471987622275,6.03594514606025,6.02722223334842,4.11447690292146
2018-01-16T11:00:00Z,8.101944445239173,3.75471987622275,6.03619437213773,6.02722223334842,4.09792139220924
2018-01-16T12:00:00Z,8.375555569595761,3.75471987622275,6.03644359821521,6.02722223334842,4.09062091416077
2018-01-16T13:00:00Z,7.0955555644300246,3.75471987622275,6.03669282429269,6.02722223334842,4.09275310657334
2018-01-16T14:00:00Z,6.860555573966768,3.75471987622275,6.03694205037017,6.02722223334842,4.10496431448006
2018-01-16T15:00:00Z,4.480555550919639,3.75471987622275,6.03719127644765,6.02722223334842,4.12562386840489
2018-01-16T16:00:00Z,6.255277778704961,3.75471987622275,6.03744050252514,6.02722223334842,4.15139850897759
2018-01-16T17:00:00Z,5.106666670905219,3.75471987622275,6.03768972860262,6.02722223334842,4.18618246299476
2018-01-16T18:00:00Z,6.641944458749559,3.75471987622275,6.0379389546801,6.02722223334842,4.22498115241028
2018-01-16T19:00:00Z,6.139999993642172,3.75471987622275,6.03818818075758,6.02722223334842,4.26522458223552
2018-01-16T20:00:00Z,5.5369444456365375,3.75471987622275,6.03843740683506,6.02722223334842,4.30573533338853
2018-01-16T21:00:00Z,7.378055544694265,3.75471987622275,6.03868663291254,6.02722223334842,4.34013163602985
2018-01-16T22:00:00Z,7.581388898690542,3.75471987622275,6.03893585899002,6.02722223334842,4.36026318757002
2018-01-16T23:00:00Z,6.780000004503462,3.75471987622275,6.0391850850675,6.02722223334842,4.36375060231139
