dateTime,windSpeed,STLETS,STLETS_BC_Auto,STLETS_BC
2018-01-15T00:00:00Z,6.1969444586171045,5.53740818197014,4.87668872373721,4.9554070945336
2018-01-15T01:00:00Z,6.322777783870697,5.11946451730937,4.06471145684037,4.11704914080283
2018-01-15T02:00:00Z,6.8686111158794825,4.83713442111846,5.24586790287889,4.39093306988471
2018-01-15T03:00:00Z,7.7763889074325565,4.67246580575053,5.25271679079499,4.23369958529014
2018-01-15T04:00:00Z,8.663055576218499,3.53078585763258,4.74016239731169,2.91249551918871
2018-01-15T05:00:00Z,9.45166668759452,3.23470510984023,4.97197864497261,2.22760861839185
2018-01-15T06:00:00Z,9.623055552111731,3.37999567443887,4.97539281147267,2.60371114945225
2018-01-15T07:00:00Z,7.92861111164093,4.48798757431157,5.02224012095938,3.99121579063221
2018-01-15T08:00:00Z,7.259166671170129,4.46162561960329,4.73456027468734,3.67973101057242
2018-01-15T09:00:00Z,6.269722219970491,3.86402793115995,4.07318775900387,2.90820986058201
2018-01-15T10:00:00Z,6.829722225666046,3.83371978844199,4.87135069951785,3.01146357076201
2018-01-15T11:00:00Z,7.890277793672349,3.85604433596135,4.54333002539315,2.7173741874452
2018-01-15T12:00:00Z,8.757222219308217,4.61459525486172,5.1281896284221,3.70322212998146
2018-01-15T13:00:00Z,8.874999980131784,4.47130135092883,5.72725213944098,3.59066522866718
2018-01-15T14:00:00Z,8.95416669315762,4.9063607182305,5.69946074394919,4.53238135968321
2018-01-15T15:00:00Z,8.453333352671729,4.46009231521488,5.51227628666002,3.94325628558448
2018-01-15T16:00:00Z,8.583333343929715,4.13994669862578,5.53329364199938,3.43939735561912
2018-01-15T17:00:00Z,7.710000006357829,3.85931689197051,5.11408014979115,3.02783320960014
2018-01-15T18:00:00Z,6.238611123296949,4.33471461289697,4.834435018964,3.33869968509121
2018-01-15T19:00:00Z,4.906111105945375,4.41394747634214,5.21048949814162,3.83978175857414
2018-01-15T20:00:00Z,6.251944442590077,4.68432434239958,5.99540078921226,4.04559343035641
2018-01-15T21:00:00Z,5.9816666788525055,4.4211172095363,5.76006028076579,3.81614474872907
2018-01-15T22:00:00Z,6.633055554495917,4.82504236901859,5.34449530533846,4.34703805176197
2018-01-15T23:00:00Z,6.129444439543618,4.53817815504322,5.7593928334851,4.02692887780223
2018-01-16T00:00:00Z,4.963611101938619,4.04062649808159,4.87668872373721,3.39706374859061
2018-01-16T01:00:00Z,5.384444448020723,3.52517083059377,4.06471145684037,2.69572536990384
2018-01-16T02:00:00Z,6.405277782016331,3.4718799466612,5.24586790287889,2.80101517886853
2018-01-16T03:00:00Z,7.509166676468319,3.40588216229233,5.25271679079499,2.65651083631895
2018-01-16T04:00:00Z,7.748055553436279,3.87628312642065,4.74016239731169,3.27312180334901
2018-01-16T05:00:00Z,6.670277776983049,3.61969045666789,4.97197864497261,2.83014934636721
2018-01-16T06:00:00Z,7.21361110607783,3.66717626869831,4.97539281147267,2.89376113642651
2018-01-16T07:00:00Z,7.790000009536743,3.10651366576135,5.02224012095938,2.28492776509261
2018-01-16T08:00:00Z,5.933611102236641,3.05538809534146,4.73456027468734,2.04715013098794
2018-01-16T09:00:00Z,6.652777761883206,2.63259975904599,4.07318775900387,1.61857229944839
2018-01-16T10:00:00Z,7.2247222324212395,2.81198340786219,4.87135069951785,1.76745053805552
2018-01-16T11:00:00Z,8.101944445239173,2.60514995691974,4.54333002539315,1.26474333975949
2018-01-16T12:00:00Z,8.375555569595761,3.06351519646282,5.1281896284221,1.68432181202794
2018-01-16T13:00:00Z,7.0955555644300246,2.98857574144099,5.72725213944098,1.56732942946037
2018-01-16T14:00:00Z,6.860555573966768,3.15310652264077,5.69946074394919,1.93705323407289
2018-01-16T15:00:00Z,4.480555550919639,3.15466497143962,5.51227628666002,2.17831714191086
2018-01-16T16:00:00Z,6.255277778704961,3.2657267578276,5.53329364199938,2.46760483124993
2018-01-16T17:00:00Z,5.106666670905219,3.06464091780528,5.11408014979115,2.36039029923817
2018-01-16T18:00:00Z,6.641944458749559,2.9321857458238,4.834435018964,2.27655564755927
2018-01-16T19:00:00Z,6.139999993642172,2.93688870133358,5.21048949814162,2.49073308444191
2018-01-16T20:00:00Z,5.5369444456365375,3.88403394733717,5.99540078921226,3.17071358477657
2018-01-16T21:00:00Z,7.378055544694265,3.47776072274244,5.76006028076579,2.62208910060139
2018-01-16T22:00:00Z,7.581388898690542,2.93933556831286,5.34449530533846,2.20304935825561
2018-01-16T23:00:00Z,6.780000004503462,3.1481281754623,5.7593928334851,2.5242767716156
