dateTime,windSpeed,STLN,STLN_BC_Auto,STLN_BC
2018-01-15T00:00:00Z,6.1969444586171045,5.53757330186439,5.11628682012299,5.1120524042588
2018-01-15T01:00:00Z,6.322777783870697,5.11962963720362,4.27681602397285,4.25164308791954
2018-01-15T02:00:00Z,6.8686111158794825,4.83729954101271,5.49746171409269,4.53273099688369
2018-01-15T03:00:00Z,7.7763889074325565,4.67263092564478,5.50453047463746,4.37136179368878
2018-01-15T04:00:00Z,8.663055576218499,3.53095097752684,4.97524951217048,3.01540604447661
2018-01-15T05:00:00Z,9.45166668759452,3.23487022973448,5.21470069512356,2.31250453628196
2018-01-15T06:00:00Z,9.623055552111731,3.38016079433312,5.21822642423431,2.69849970717893
2018-01-15T07:00:00Z,7.92861111164093,4.48815269420582,5.26660200797272,4.12249993813348
2018-01-15T08:00:00Z,7.259166671170129,4.46179073949754,4.96946138551978,3.8028221615123
2018-01-15T09:00:00Z,6.269722219970491,3.8641930510542,4.28558816265362,3.01100766002109
2018-01-15T10:00:00Z,6.829722225666046,3.83388490833624,5.11077320646575,3.11697725664758
2018-01-15T11:00:00Z,7.890277793672349,3.8562094558556,4.77183774878952,2.81515242858194
2018-01-15T12:00:00Z,8.757222219308217,4.61476037475597,5.37599071633906,3.82693116876969
2018-01-15T13:00:00Z,8.874999980131784,4.47146647082308,5.99407970479169,3.7114136788024
2018-01-15T14:00:00Z,8.95416669315762,4.90652583812475,5.96542055650793,4.67789980667585
2018-01-15T15:00:00Z,8.453333352671729,4.46025743510913,5.77235485872517,4.07327895231656
2018-01-15T16:00:00Z,8.583333343929715,4.14011181852003,5.7940357969132,3.55616700087183
2018-01-15T17:00:00Z,7.710000006357829,3.85948201186476,5.36142458812756,3.13377746674729
2018-01-15T18:00:00Z,6.238611123296949,4.33487973279122,5.07264148529781,3.45282067551008
2018-01-15T19:00:00Z,4.906111105945375,4.41411259623639,5.46094603878612,3.96708273070584
2018-01-15T20:00:00Z,6.251944442590077,4.68448946229383,6.27053137937576,4.17830787507859
2018-01-15T21:00:00Z,5.9816666788525055,4.42128232943055,6.02791046568925,3.9428239956505
2018-01-15T22:00:00Z,6.633055554495917,4.82520748891284,5.59924638572934,4.48768140635304
2018-01-15T23:00:00Z,6.129444439543618,4.53834327493747,6.02722223334842,4.15915238805607
2018-01-16T00:00:00Z,4.963611101938619,4.04079161797584,5.11628682012299,3.51271989129353
2018-01-16T01:00:00Z,5.384444448020723,3.52533595048802,4.27681602397285,2.79293418133157
2018-01-16T02:00:00Z,6.405277782016331,3.47204506655546,5.49746171409269,2.90099343233009
2018-01-16T03:00:00Z,7.509166676468319,3.40604728218658,5.50453047463746,2.75268818630976
2018-01-16T04:00:00Z,7.748055553436279,3.8764482463149,4.97524951217048,3.38551789613559
2018-01-16T05:00:00Z,6.670277776983049,3.61985557656214,5.21470069512356,2.9308939169955
2018-01-16T06:00:00Z,7.21361110607783,3.66734138859256,5.21822642423431,2.99617889049933
2018-01-16T07:00:00Z,7.790000009536743,3.1066787856556,5.26660200797272,2.37133135077866
2018-01-16T08:00:00Z,5.933611102236641,3.05555321523572,4.96946138551978,2.12729944210488
2018-01-16T09:00:00Z,6.652777761883206,2.63276487894025,4.28558816265362,1.68744871081268
2018-01-16T10:00:00Z,7.2247222324212395,2.81214852775644,5.11077320646575,1.84024289965256
2018-01-16T11:00:00Z,8.101944445239173,2.60531507681399,4.77183774878952,1.32431297392107
2018-01-16T12:00:00Z,8.375555569595761,3.06368031635707,5.37599071633906,1.75492763543725
2018-01-16T13:00:00Z,7.0955555644300246,2.98874086133525,5.99407970479169,1.63485799757683
2018-01-16T14:00:00Z,6.860555573966768,3.15327164253502,5.96542055650793,2.0143066621304
2018-01-16T15:00:00Z,4.480555550919639,3.15483009133387,5.77235485872517,2.26191654413418
2018-01-16T16:00:00Z,6.255277778704961,3.26589187772185,5.7940357969132,2.55881337907436
2018-01-16T17:00:00Z,5.106666670905219,3.06480603769953,5.36142458812756,2.44877877896189
2018-01-16T18:00:00Z,6.641944458749559,2.93235086571805,5.07264148529781,2.36273902110477
2018-01-16T19:00:00Z,6.139999993642172,2.93705382122784,5.46094603878612,2.58254997563014
2018-01-16T20:00:00Z,5.5369444456365375,3.88419906723143,6.27053137937576,3.28041603011605
2018-01-16T21:00:00Z,7.378055544694265,3.47792584263669,6.02791046568925,2.71736105430826
2018-01-16T22:00:00Z,7.581388898690542,2.93950068820711,5.59924638572934,2.28729929294934
2018-01-16T23:00:00Z,6.780000004503462,3.14829329535656,6.02722223334842,2.61697596374199
